query,before_retrieved_sources,after_retrieved_sources,changed
Что такое метод опорных векторов?,"['Градиентный бустинг', 'Линейная регрессия', 'Метод главных компонент (PCA)']","['Машины опорных векторов (SVM)', 'Градиентный бустинг', 'Метрики качества кластеризации']",True
Расскажите про обучение с подкреплением,"['Градиентный бустинг', 'Ансамблирование (Bagging и Boosting)', 'Линейная регрессия']","['Обучение с подкреплением', 'Градиентный бустинг', 'Ансамблирование (Bagging и Boosting)']",True
Как оценить качество кластеризации?,"['Оценка качества моделей', 'Предобработка данных', 'Кластеризация методом k-средних']","['Метрики качества кластеризации', 'Оценка качества моделей', 'Предобработка данных']",True
Что такое градиентный бустинг?,"['Градиентный бустинг', 'Деревья решений', 'Линейная регрессия']","['Градиентный бустинг', 'Деревья решений', 'Линейная регрессия']",False
