feature,importance_mean,importance_std
f54,0.015567891480345143,0.0025002483293799327
f25,0.01188737939125285,0.0028927737355573797
f04,0.006147668544417872,0.0009406124406640217
f16,0.0054240160617844094,0.0014272299466005155
f41,0.005368435993993892,0.0033624423865285034
f47,0.005248297539769675,0.003192624305039705
f58,0.005216916178417097,0.004292557162582339
f38,0.005152614315373283,0.00218518437237674
f13,0.004742775446265201,0.0028904812576530533
f53,0.00464179073847949,0.0031247799420920748
f33,0.0035568678152073764,0.002433601526438812
f52,0.0030963228227149143,0.001309589490984235
f57,0.002503240745491153,0.002021122421904582
f15,0.0023600151861846606,0.001686328217996525
f08,0.002178140102814552,0.002866239837655
